id	gene	a	d	mu_r	mu_v
s0	S0	188	269	0.999	0.5
s1	S1	217	287	0.999	0.5
s2	S2	206	302	0.999	0.5
s3	S3	212	304	0.999	0.5
s4	S4	215	295	0.999	0.5
s5	S5	210	300	0.999	0.5
s6	S6	224	289	0.999	0.5
s7	S7	179	257	0.999	0.5
s8	S8	217	301	0.999	0.5
s9	S9	209	296	0.999	0.5
s10	S10	197	282	0.999	0.5
s11	S11	213	291	0.999	0.5
s12	S12	179	258	0.999	0.5
s13	S13	215	309	0.999	0.5
s14	S14	227	306	0.999	0.5
s15	S15	232	320	0.999	0.5
s16	S16	204	276	0.999	0.5
s17	S17	221	303	0.999	0.5
s18	S18	212	293	0.999	0.5
s19	S19	220	314	0.999	0.5
s20	S20	214	287	0.999	0.5
s21	S21	234	313	0.999	0.5
s22	S22	224	320	0.999	0.5
s23	S23	208	298	0.999	0.5
s24	S24	199	292	0.999	0.5
s25	S25	206	291	0.999	0.5
s26	S26	223	319	0.999	0.5
s27	S27	201	294	0.999	0.5
s28	S28	218	299	0.999	0.5
s29	S29	212	305	0.999	0.5
s30	S30	199	287	0.999	0.5
s31	S31	212	291	0.999	0.5
s32	S32	220	308	0.999	0.5
s33	S33	216	292	0.999	0.5
s34	S34	233	325	0.999	0.5
s35	S35	234	298	0.999	0.5
s36	S36	209	296	0.999	0.5
s37	S37	204	295	0.999	0.5
s38	S38	212	284	0.999	0.5
s39	S39	211	282	0.999	0.5
s40	S40	181	276	0.999	0.5
s41	S41	197	293	0.999	0.5
s42	S42	215	310	0.999	0.5
s43	S43	226	332	0.999	0.5
s44	S44	193	285	0.999	0.5
s45	S45	196	286	0.999	0.5
s46	S46	213	323	0.999	0.5
s47	S47	231	326	0.999	0.5
s48	S48	233	312	0.999	0.5
s49	S49	221	309	0.999	0.5
s50	S50	232	336	0.999	0.5
s51	S51	209	279	0.999	0.5
s52	S52	231	309	0.999	0.5
s53	S53	203	286	0.999	0.5
s54	S54	233	311	0.999	0.5
s55	S55	194	301	0.999	0.5
s56	S56	213	290	0.999	0.5
s57	S57	219	309	0.999	0.5
s58	S58	224	313	0.999	0.5
s59	S59	215	298	0.999	0.5
s60	S60	216	314	0.999	0.5
s61	S61	201	288	0.999	0.5
s62	S62	227	321	0.999	0.5
s63	S63	212	294	0.999	0.5
s64	S64	206	290	0.999	0.5
s65	S65	210	306	0.999	0.5
s66	S66	224	314	0.999	0.5
s67	S67	217	288	0.999	0.5
s68	S68	212	286	0.999	0.5
s69	S69	191	263	0.999	0.5
s70	S70	203	289	0.999	0.5
s71	S71	248	338	0.999	0.5
s72	S72	221	320	0.999	0.5
s73	S73	216	302	0.999	0.5
s74	S74	203	279	0.999	0.5
s75	S75	210	299	0.999	0.5
s76	S76	223	299	0.999	0.5
s77	S77	207	294	0.999	0.5
s78	S78	205	297	0.999	0.5
s79	S79	238	325	0.999	0.5
s80	S80	239	339	0.999	0.5
s81	S81	204	292	0.999	0.5
s82	S82	204	299	0.999	0.5
s83	S83	223	310	0.999	0.5
s84	S84	224	318	0.999	0.5
s85	S85	221	304	0.999	0.5
s86	S86	221	322	0.999	0.5
s87	S87	206	276	0.999	0.5
s88	S88	222	315	0.999	0.5
s89	S89	235	341	0.999	0.5
s90	S90	211	307	0.999	0.5
s91	S91	210	302	0.999	0.5
s92	S92	209	282	0.999	0.5
s93	S93	226	307	0.999	0.5
s94	S94	233	315	0.999	0.5
s95	S95	207	279	0.999	0.5
s96	S96	206	275	0.999	0.5
s97	S97	246	328	0.999	0.5
s98	S98	210	309	0.999	0.5
s99	S99	215	305	0.999	0.5
s100	S100	230	315	0.999	0.5
s101	S101	201	282	0.999	0.5
s102	S102	212	288	0.999	0.5
s103	S103	230	317	0.999	0.5
s104	S104	211	301	0.999	0.5
s105	S105	231	311	0.999	0.5
s106	S106	213	305	0.999	0.5
s107	S107	211	299	0.999	0.5
s108	S108	215	297	0.999	0.5
s109	S109	194	269	0.999	0.5
s110	S110	222	313	0.999	0.5
s111	S111	211	300	0.999	0.5
s112	S112	205	292	0.999	0.5
s113	S113	219	292	0.999	0.5
s114	S114	184	279	0.999	0.5
s115	S115	201	289	0.999	0.5
s116	S116	202	296	0.999	0.5
s117	S117	217	288	0.999	0.5
s118	S118	215	304	0.999	0.5
s119	S119	203	269	0.999	0.5
s120	S120	219	299	0.999	0.5
s121	S121	208	278	0.999	0.5
s122	S122	204	313	0.999	0.5
s123	S123	226	312	0.999	0.5
s124	S124	244	317	0.999	0.5
s125	S125	198	288	0.999	0.5
s126	S126	212	310	0.999	0.5
s127	S127	201	282	0.999	0.5
s128	S128	206	304	0.999	0.5
s129	S129	211	285	0.999	0.5
s130	S130	207	300	0.999	0.5
s131	S131	212	313	0.999	0.5
s132	S132	232	334	0.999	0.5
s133	S133	215	303	0.999	0.5
s134	S134	199	275	0.999	0.5
s135	S135	185	268	0.999	0.5
s136	S136	209	311	0.999	0.5
s137	S137	206	285	0.999	0.5
s138	S138	210	304	0.999	0.5
s139	S139	220	310	0.999	0.5
s140	S140	233	332	0.999	0.5
s141	S141	221	313	0.999	0.5
s142	S142	217	289	0.999	0.5
s143	S143	213	304	0.999	0.5
s144	S144	230	321	0.999	0.5
s145	S145	236	326	0.999	0.5
s146	S146	198	280	0.999	0.5
